ID,Age,Gender,F_V_BCD,S_Z_BCD,SH_ZH_BCD,TH_DH_BCD,F_V_WCD,S_Z_WCD,SH_ZH_WCD,TH_DH_WCD,F_V_CO,S_Z_CO,SH_ZH_CO,TH_DH_CO,F_V_CD,S_Z_CD,SH_ZH_CD,TH_DH_CD,Condition
S143,60,female ,570.6479779869961,1891.36181596796,,,69.02698858298152,1658.8324977299212,190.49084951152375,613.0681118140703,-432.5940008210331,3628.2452798593667,0.0,0.0,5.845670848293114,1.1399091592126454,,,cd
S103,64,male ,3086.2640146579774,1984.8861522101702,,,581.974471438134,1155.9909460810636,0.0,1806.8945122849057,-1538.089140605843,2595.925680931339,0.0,0.0,3.749852133382904,1.3241790728775857,,,cd
S084,68,male ,1716.3607183499958,1200.4631382622729,2676.105337658588,-5.217753902443292,1215.9582554242547,1093.8686817487446,442.1025054119943,1366.2268342489856,3485.3732302815442,2818.4356754907185,-728.9617287383169,5345.194452998804,1.4017510123410195,1.044537944963994,4.2802115081082395,-0.0038185411578875303,cd
S111,66,female ,2027.4097351612784,1071.9680356780045,,,547.9957090519578,1782.6072563321682,,1234.2471381729363,-931.4183170573631,3559.3339406804766,0.0,0.0,2.6160700682425184,0.5730140086339308,,,cd
S154,65,female ,705.572402249885,507.68577026980984,,,139.4087826432356,1365.0508138303358,878.1933963563094,1789.9321433460104,-426.7548369634137,3030.7938237433864,0.0,0.0,3.578791958364357,0.3677554817648685,,,cd
S125,57,female ,,1771.0091631173436,,,0.0,1669.4928325570145,,2242.6639776113725,0.0,1747.6092477537713,0.0,0.0,,0.9099805875094253,,,cd
S104,64,male ,2036.339722205173,587.679622923878,,2767.4943447353135,736.5794682628226,1110.7760249594667,470.77273841516865,1283.273577673494,383.70543416241253,4615.157688902012,0.0,3510.0786912233225,2.531826326531356,0.5252891690210182,,2.143380251093667,cd
S097,68,female ,1449.2547911439594,478.5008023784512,,2018.8150025461027,1414.7600010203396,1317.9460921549698,485.9193176740111,1386.708680846849,3643.7738559707886,3780.5812352945577,0.0,2885.1012739364883,1.0241948124328855,0.35311102517637616,,1.4298500327176624,cd
S094,64,female ,1146.9030777715561,1433.0469167584254,,318.67245638102577,578.7292372639815,1601.5401011799777,913.8204499019794,457.51412911974427,1038.0361893004285,3117.774142988896,0.0,1878.2611488271823,1.8749204347349935,0.8736450867716223,,0.4925213027146119,cd
S126,73,male ,,2203.0761100505533,,517.0050289471492,2929.778360663314,1790.9867102313929,,2561.2998577002154,0.0,5005.281812933415,0.0,6627.73005889872,,1.2169959805712516,,0.19939787365797948,cd
S132,61,female ,1873.857369000937,329.5182234041058,,1437.8400909858124,995.6312811268984,1930.1410727125885,384.6352566918649,1739.6704637010585,-159.3909034220634,5803.5748807129385,0.0,5008.682172224826,1.3469344526216571,0.16816634977359582,,0.7793235345179519,cd
S081,69,male ,2275.8727103005044,3269.944065098936,,4197.526809727358,923.0772033606778,1324.932421010237,1207.9297391105156,538.4568615568769,143.8879452148409,3433.0657421119604,0.0,-295.2079051310466,1.8588701470005196,2.4372177314543744,,5.512232981466115,cd
S148,74,male ,-2519.2323780693223,2129.589839247554,,-528.7245238296416,71.51810837882763,1148.9118566836105,1241.1203283781642,401.2383658170803,2662.2685948269773,2146.8744998066177,0.0,1915.5656266102192,-24.90790568007933,1.8533000458431184,,-0.9317770383652901,cd
S149,70,female ,2208.427439455437,1275.721023808233,,-501.735659926945,1022.5314853776541,1549.213592351039,0.0,663.1795027314577,-12.459729930206663,3775.084235564015,0.0,3127.9277085032263,1.5271842877489838,0.7964888237820028,,-0.5654097305730192,cd
S082,66,male ,570.3894336335304,987.8780552782209,,457.87687261180736,729.7216609593036,1274.6422173847316,214.48516413240733,288.41720288166795,1688.9851827831296,3886.8417081670677,0.0,970.3749166010712,0.7481131702843548,0.7749956973082613,,1.1876281093289265,cd
S089,65,male ,1548.014028294823,-270.0186865845985,,2025.8133441207297,1.6358992007823758,1320.1698374689313,862.6345762303821,817.944446076127,-1544.7422298932584,4285.427434322395,0.0,1891.1432035020625,669.1189874386337,-0.20243985530257275,,2.2522036436642554,cd
S100,68,female ,3886.0548843696733,2031.835335254641,,,150.91025885592455,1254.464124643469,426.0701773284508,1689.4253143072654,-3584.234366657824,991.7873349279253,0.0,0.0,18.20854182898397,1.339223843783249,,,cd
S086,57,male ,-908.6663449785115,-943.6126850240107,,,2142.8477069179185,2266.627882262311,2688.8479615853544,1223.8249580020067,7453.833439032107,11565.278610387102,0.0,0.0,-0.39205884772369387,-0.39250915622000093,,,cd
S079,59,male ,1592.1853432672035,1509.9587533693502,,129.40223772160425,505.05163479184307,988.2060948336791,720.6602843541106,118.9666893671319,-165.77099427565417,2682.191747105504,0.0,468.0824773578149,2.3883891163219206,1.4888090132272038,,0.7691329420060332,cd
S090,59,male ,812.7357494044775,1351.611287985369,-47.488963522756876,36.44188685682184,930.173948912545,1282.8149870288494,108.44476102776174,927.9668904423688,1378.5412349884919,4338.772414117166,410.5560979916304,4476.528383632707,0.776100308617309,1.0412705352105622,-0.30964859731550887,0.03568648956715724,cd
S108,61,male ,3113.560268714233,565.1759076745143,,1673.304890656945,841.7310073885205,1068.720854342001,218.2645200686865,1489.691633175487,-1036.029010668371,3861.131551939836,0.0,4209.7370878376405,2.8413762009208723,0.528694899884029,,1.0936002488135612,cd
S118,77,female ,1473.2821889490908,1161.2409921221292,,-397.694876781739,928.1249375014401,1640.5719917911115,1133.7432747059404,488.5745443303519,822.2024046575017,4497.8373769636655,0.0,4392.226016995604,1.1224435249113713,0.7076109671245728,,-0.6389454860226962,cd
